file,acceleration,time,events,driver
carla_driver_data.csv,4.58,7.7,harsh_acceleration,apo
carla_driver_data.csv,4.79,18.0,harsh_acceleration,apo
carla_driver_data.csv,4.75,25.9,harsh_acceleration,apo
carla_driver_data.csv,3.86,33.8,harsh_acceleration,apo
carla_driver_data.csv,3.04,85.8,harsh_acceleration,apo
carla_driver_data.csv,3.1,142.3,harsh_acceleration,apo
carla_driver_data.csv,3.86,227.0,harsh_acceleration,apo
carla_driver_data.csv,3.02,247.1,harsh_acceleration,apo
carla_driver_data.csv,4.32,279.4,harsh_acceleration,apo
carla_driver_data.csv,3.24,340.4,harsh_acceleration,apo
carla_driver_data.csv,3.12,341.6,harsh_acceleration,apo
carla_driver_data.csv,3.11,381.3,harsh_acceleration,apo
carla_driver_data.csv,6.11,410.6,harsh_acceleration,apo
carla_driver_data.csv,4.6,413.2,harsh_acceleration,apo
carla_driver_data.csv,3.39,470.1,harsh_acceleration,apo
carla_driver_data.csv,3.12,486.5,harsh_acceleration,apo
carla_driver_data.csv,6.8,488.4,harsh_acceleration,apo
carla_driver_data.csv,3.27,490.4,harsh_acceleration,apo
carla_driver_data.csv,3.24,492.9,harsh_acceleration,apo
carla_driver_data.csv,4.64,496.1,harsh_acceleration,apo
carla_driver_data.csv,4.28,503.5,harsh_acceleration,apo
carla_driver_data.csv,3.38,510.9,harsh_acceleration,apo
carla_driver_data.csv,3.12,514.7,harsh_acceleration,apo
carla_driver_data.csv,5.09,631.7,harsh_acceleration,apo
carla_driver_data.csv,6.96,635.7,harsh_acceleration,apo
carla_driver_data.csv,3.48,654.8,harsh_acceleration,apo
carla_driver_data.csv,5.81,658.8,harsh_acceleration,apo
carla_driver_data.csv,3.05,665.1,harsh_acceleration,apo
carla_driver_data.csv,4.04,716.7,harsh_acceleration,apo
carla_driver_data.csv,3.42,718.2,harsh_acceleration,apo
carla_driver_data.csv,3.19,722.6,harsh_acceleration,apo
carla_driver_data.csv,3.75,727.7,harsh_acceleration,apo
carla_driver_data.csv,3.08,731.1,harsh_acceleration,apo
carla_driver_data.csv,3.77,734.1,harsh_acceleration,apo
carla_driver_data.csv,4.0,736.1,harsh_acceleration,apo
carla_driver_data.csv,4.64,744.0,harsh_acceleration,apo
